Vftable	Methods	Flags	Type	Hierarchy
01420A6FA0	4	M	std::_Ref_count_obj_alloc3<xbox::services::multiplayer::manager::JoinLobbyCompletedEventArgs,xbox::services::Allocator<xbox::services::multiplayer::manager::JoinLobbyCompletedEventArgs> >	std::_Ref_count_obj_alloc3<xbox::services::multiplayer::manager::JoinLobbyCompletedEventArgs,xbox::services::Allocator<xbox::services::multiplayer::manager::JoinLobbyCompletedEventArgs> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::multiplayer::manager::JoinLobbyCompletedEventArgs>,1>, struct xbox::services::Allocator<xbox::services::multiplayer::manager::JoinLobbyCompletedEventArgs>, std::_Ref_count_base;
01420A70C8	4	M	std::_Ref_count_obj_alloc3<xbox::services::multiplayer::manager::MultiplayerLocalUserManager,xbox::services::Allocator<xbox::services::multiplayer::manager::MultiplayerLocalUserManager> >	std::_Ref_count_obj_alloc3<xbox::services::multiplayer::manager::MultiplayerLocalUserManager,xbox::services::Allocator<xbox::services::multiplayer::manager::MultiplayerLocalUserManager> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::multiplayer::manager::MultiplayerLocalUserManager>,1>, struct xbox::services::Allocator<xbox::services::multiplayer::manager::MultiplayerLocalUserManager>, std::_Ref_count_base;
01420A70F0	4	M	std::_Ref_count_obj_alloc3<xbox::services::multiplayer::manager::MultiplayerLobbyClient,xbox::services::Allocator<xbox::services::multiplayer::manager::MultiplayerLobbyClient> >	std::_Ref_count_obj_alloc3<xbox::services::multiplayer::manager::MultiplayerLobbyClient,xbox::services::Allocator<xbox::services::multiplayer::manager::MultiplayerLobbyClient> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::multiplayer::manager::MultiplayerLobbyClient>,1>, struct xbox::services::Allocator<xbox::services::multiplayer::manager::MultiplayerLobbyClient>, std::_Ref_count_base;
01420A7118	4	M	std::_Ref_count_obj_alloc3<xbox::services::multiplayer::manager::MultiplayerGameClient,xbox::services::Allocator<xbox::services::multiplayer::manager::MultiplayerGameClient> >	std::_Ref_count_obj_alloc3<xbox::services::multiplayer::manager::MultiplayerGameClient,xbox::services::Allocator<xbox::services::multiplayer::manager::MultiplayerGameClient> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::multiplayer::manager::MultiplayerGameClient>,1>, struct xbox::services::Allocator<xbox::services::multiplayer::manager::MultiplayerGameClient>, std::_Ref_count_base;
01420A7140	4	M	std::_Ref_count_obj_alloc3<xbox::services::multiplayer::manager::MultiplayerMatchClient,xbox::services::Allocator<xbox::services::multiplayer::manager::MultiplayerMatchClient> >	std::_Ref_count_obj_alloc3<xbox::services::multiplayer::manager::MultiplayerMatchClient,xbox::services::Allocator<xbox::services::multiplayer::manager::MultiplayerMatchClient> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::multiplayer::manager::MultiplayerMatchClient>,1>, struct xbox::services::Allocator<xbox::services::multiplayer::manager::MultiplayerMatchClient>, std::_Ref_count_base;
01420A7170	2	M	xbox::services::multiplayer::manager::MemberJoinedEventArgs	struct xbox::services::multiplayer::manager::MemberJoinedEventArgs: struct XblMultiplayerEventArgs, struct xbox::services::RefCounter, std::enable_shared_from_this<XblMultiplayerEventArgs>;
01420A7188	2	M	xbox::services::multiplayer::manager::MemberLeftEventArgs	struct xbox::services::multiplayer::manager::MemberLeftEventArgs: struct XblMultiplayerEventArgs, struct xbox::services::RefCounter, std::enable_shared_from_this<XblMultiplayerEventArgs>;
01420A71A0	2	M	xbox::services::multiplayer::manager::HostChangedEventArgs	struct xbox::services::multiplayer::manager::HostChangedEventArgs: struct XblMultiplayerEventArgs, struct xbox::services::RefCounter, std::enable_shared_from_this<XblMultiplayerEventArgs>;
01420A71B8	2	M	xbox::services::multiplayer::manager::MemberPropertyChangedEventArgs	struct xbox::services::multiplayer::manager::MemberPropertyChangedEventArgs: struct XblMultiplayerEventArgs, struct xbox::services::RefCounter, std::enable_shared_from_this<XblMultiplayerEventArgs>;
01420A71D0	2	M	xbox::services::multiplayer::manager::SessionPropertyChangedEventArgs	struct xbox::services::multiplayer::manager::SessionPropertyChangedEventArgs: struct XblMultiplayerEventArgs, struct xbox::services::RefCounter, std::enable_shared_from_this<XblMultiplayerEventArgs>;
01420A7520	3		xbox::services::Function<void __cdecl(XblMultiplayerSessionChangeEventArgs)>::Callable<<lambda_75fe19bcfb025ee489e5f9e4bbdaf749> >	struct xbox::services::Function<void __cdecl(XblMultiplayerSessionChangeEventArgs)>::Callable<<lambda_75fe19bcfb025ee489e5f9e4bbdaf749> >: struct xbox::services::Function<void __cdecl(XblMultiplayerSessionChangeEventArgs)>::ICallable;
01420A7540	3		xbox::services::Function<void __cdecl(void)>::Callable<<lambda_21d7f5b2f6a3b3dd03ddae33d7ea3418> >	struct xbox::services::Function<void __cdecl(void)>::Callable<<lambda_21d7f5b2f6a3b3dd03ddae33d7ea3418> >: struct xbox::services::Function<void __cdecl(void)>::ICallable;
01420A7560	3		xbox::services::Function<void __cdecl(void)>::Callable<<lambda_9e31d2aa5143bb87410eed310f49b376> >	struct xbox::services::Function<void __cdecl(void)>::Callable<<lambda_9e31d2aa5143bb87410eed310f49b376> >: struct xbox::services::Function<void __cdecl(void)>::ICallable;
01420A7580	3		xbox::services::Function<void __cdecl(void)>::Callable<<lambda_ffc94056d56268c32c7eb031c7c6df8c> >	struct xbox::services::Function<void __cdecl(void)>::Callable<<lambda_ffc94056d56268c32c7eb031c7c6df8c> >: struct xbox::services::Function<void __cdecl(void)>::ICallable;
01420A75A0	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<XblMultiplayerSession> >)>::Callable<<lambda_e7e2350a9830996caf353b8793a8f224> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<XblMultiplayerSession> >)>::Callable<<lambda_e7e2350a9830996caf353b8793a8f224> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<XblMultiplayerSession> >)>::ICallable;
01420A75C0	3		xbox::services::Function<void __cdecl(void)>::Callable<<lambda_5888910e9bb6a600028af926f0fa4ec0> >	struct xbox::services::Function<void __cdecl(void)>::Callable<<lambda_5888910e9bb6a600028af926f0fa4ec0> >: struct xbox::services::Function<void __cdecl(void)>::ICallable;
01420A75E0	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<XblMultiplayerSession> >)>::Callable<<lambda_267f558fc3ec587d31513ec6ef56acba> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<XblMultiplayerSession> >)>::Callable<<lambda_267f558fc3ec587d31513ec6ef56acba> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<XblMultiplayerSession> >)>::ICallable;
01420A7600	2		xbox::services::utils::SmartPointerContainer<xbox::services::multiplayer::manager::MultiplayerClientManager>	struct xbox::services::utils::SmartPointerContainer<xbox::services::multiplayer::manager::MultiplayerClientManager>: 
01420A7618	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::vector<std::basic_string<char,std::char_traits<char>,xbox::services::Allocator<char> >,xbox::services::Allocator<std::basic_string<char,std::char_traits<char>,xbox::services::Allocator<char> > > > >)>::Callable<<lambda_9e0d6d4575479105626a884e5088892f> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::vector<std::basic_string<char,std::char_traits<char>,xbox::services::Allocator<char> >,xbox::services::Allocator<std::basic_string<char,std::char_traits<char>,xbox::services::Allocator<char> > > > >)>::Callable<<lambda_9e0d6d4575479105626a884e5088892f> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::vector<std::basic_string<char,std::char_traits<char>,xbox::services::Allocator<char> >,xbox::services::Allocator<std::basic_string<char,std::char_traits<char>,xbox::services::Allocator<char> > > > >)>::ICallable;
01420A7638	3		xbox::services::Function<void __cdecl(void)>::Callable<<lambda_3b47fb649bad9e723801a326a95e15de> >	struct xbox::services::Function<void __cdecl(void)>::Callable<<lambda_3b47fb649bad9e723801a326a95e15de> >: struct xbox::services::Function<void __cdecl(void)>::ICallable;
01420A7658	4	M	std::_Ref_count_obj_alloc3<xbox::services::multiplayer::manager::MultiplayerClientPendingReader,xbox::services::Allocator<xbox::services::multiplayer::manager::MultiplayerClientPendingReader> >	std::_Ref_count_obj_alloc3<xbox::services::multiplayer::manager::MultiplayerClientPendingReader,xbox::services::Allocator<xbox::services::multiplayer::manager::MultiplayerClientPendingReader> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::multiplayer::manager::MultiplayerClientPendingReader>,1>, struct xbox::services::Allocator<xbox::services::multiplayer::manager::MultiplayerClientPendingReader>, std::_Ref_count_base;
01420A7680	2		xbox::services::utils::SharedPointerContainer<xbox::services::multiplayer::manager::MultiplayerClientManager>	struct xbox::services::utils::SharedPointerContainer<xbox::services::multiplayer::manager::MultiplayerClientManager>: struct xbox::services::utils::SmartPointerContainer<xbox::services::multiplayer::manager::MultiplayerClientManager>;
01420A7698	4	M	std::_Ref_count_obj_alloc3<xbox::services::multiplayer::manager::MemberJoinedEventArgs,xbox::services::Allocator<xbox::services::multiplayer::manager::MemberJoinedEventArgs> >	std::_Ref_count_obj_alloc3<xbox::services::multiplayer::manager::MemberJoinedEventArgs,xbox::services::Allocator<xbox::services::multiplayer::manager::MemberJoinedEventArgs> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::multiplayer::manager::MemberJoinedEventArgs>,1>, struct xbox::services::Allocator<xbox::services::multiplayer::manager::MemberJoinedEventArgs>, std::_Ref_count_base;
01420A76C0	4	M	std::_Ref_count_obj_alloc3<xbox::services::multiplayer::manager::MemberLeftEventArgs,xbox::services::Allocator<xbox::services::multiplayer::manager::MemberLeftEventArgs> >	std::_Ref_count_obj_alloc3<xbox::services::multiplayer::manager::MemberLeftEventArgs,xbox::services::Allocator<xbox::services::multiplayer::manager::MemberLeftEventArgs> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::multiplayer::manager::MemberLeftEventArgs>,1>, struct xbox::services::Allocator<xbox::services::multiplayer::manager::MemberLeftEventArgs>, std::_Ref_count_base;
01420A76E8	4	M	std::_Ref_count_obj_alloc3<xbox::services::multiplayer::manager::MemberPropertyChangedEventArgs,xbox::services::Allocator<xbox::services::multiplayer::manager::MemberPropertyChangedEventArgs> >	std::_Ref_count_obj_alloc3<xbox::services::multiplayer::manager::MemberPropertyChangedEventArgs,xbox::services::Allocator<xbox::services::multiplayer::manager::MemberPropertyChangedEventArgs> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::multiplayer::manager::MemberPropertyChangedEventArgs>,1>, struct xbox::services::Allocator<xbox::services::multiplayer::manager::MemberPropertyChangedEventArgs>, std::_Ref_count_base;
01420A7710	4	M	std::_Ref_count_obj_alloc3<xbox::services::multiplayer::manager::SessionPropertyChangedEventArgs,xbox::services::Allocator<xbox::services::multiplayer::manager::SessionPropertyChangedEventArgs> >	std::_Ref_count_obj_alloc3<xbox::services::multiplayer::manager::SessionPropertyChangedEventArgs,xbox::services::Allocator<xbox::services::multiplayer::manager::SessionPropertyChangedEventArgs> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::multiplayer::manager::SessionPropertyChangedEventArgs>,1>, struct xbox::services::Allocator<xbox::services::multiplayer::manager::SessionPropertyChangedEventArgs>, std::_Ref_count_base;
01420A7738	4	M	std::_Ref_count_obj_alloc3<xbox::services::multiplayer::manager::HostChangedEventArgs,xbox::services::Allocator<xbox::services::multiplayer::manager::HostChangedEventArgs> >	std::_Ref_count_obj_alloc3<xbox::services::multiplayer::manager::HostChangedEventArgs,xbox::services::Allocator<xbox::services::multiplayer::manager::HostChangedEventArgs> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::multiplayer::manager::HostChangedEventArgs>,1>, struct xbox::services::Allocator<xbox::services::multiplayer::manager::HostChangedEventArgs>, std::_Ref_count_base;
01420A7768	2	M	xbox::services::multiplayer::manager::FindMatchCompletedEventArgs	struct xbox::services::multiplayer::manager::FindMatchCompletedEventArgs: struct XblMultiplayerEventArgs, struct xbox::services::RefCounter, std::enable_shared_from_this<XblMultiplayerEventArgs>;
01420A7780	2	M	xbox::services::multiplayer::manager::PerformQosMeasurementsEventArgs	struct xbox::services::multiplayer::manager::PerformQosMeasurementsEventArgs: struct XblMultiplayerEventArgs, struct xbox::services::RefCounter, std::enable_shared_from_this<XblMultiplayerEventArgs>;
01420A7910	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<XblMultiplayerSession> >)>::Callable<<lambda_7b313518d00b85d1f845329369c32a59> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<XblMultiplayerSession> >)>::Callable<<lambda_7b313518d00b85d1f845329369c32a59> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<XblMultiplayerSession> >)>::ICallable;
01420A7930	2		xbox::services::utils::SmartPointerContainer<xbox::services::multiplayer::manager::MultiplayerMatchClient>	struct xbox::services::utils::SmartPointerContainer<xbox::services::multiplayer::manager::MultiplayerMatchClient>: 
01420A7948	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<XblMultiplayerSession> >)>::Callable<<lambda_803b960bf776c12f8323e394ecdf960c> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<XblMultiplayerSession> >)>::Callable<<lambda_803b960bf776c12f8323e394ecdf960c> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<XblMultiplayerSession> >)>::ICallable;
01420A7968	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<XblMultiplayerSession> >)>::Callable<<lambda_d1b36af3274d4800df51522497a43753> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<XblMultiplayerSession> >)>::Callable<<lambda_d1b36af3274d4800df51522497a43753> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<XblMultiplayerSession> >)>::ICallable;
01420A7988	3		xbox::services::Function<void __cdecl(void)>::Callable<<lambda_141fe00695af8169a0276d0e5bc42924> >	struct xbox::services::Function<void __cdecl(void)>::Callable<<lambda_141fe00695af8169a0276d0e5bc42924> >: struct xbox::services::Function<void __cdecl(void)>::ICallable;
01420A79A8	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<XblMultiplayerSession> >)>::Callable<<lambda_565df6eb400fc44c5abe30f4f75690aa> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<XblMultiplayerSession> >)>::Callable<<lambda_565df6eb400fc44c5abe30f4f75690aa> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<XblMultiplayerSession> >)>::ICallable;
01420A79C8	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<XblMultiplayerSession> >)>::Callable<<lambda_cad13ea6db3c8b73c1a1d7353baeaaab> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<XblMultiplayerSession> >)>::Callable<<lambda_cad13ea6db3c8b73c1a1d7353baeaaab> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<XblMultiplayerSession> >)>::ICallable;
01420A79E8	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<XblMultiplayerSession> >)>::Callable<<lambda_b8ae6f09639d9f5ecdd08285e12f9702> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<XblMultiplayerSession> >)>::Callable<<lambda_b8ae6f09639d9f5ecdd08285e12f9702> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<XblMultiplayerSession> >)>::ICallable;
01420A7A08	4	M	std::_Ref_count_obj_alloc3<xbox::services::multiplayer::manager::PerformQosMeasurementsEventArgs,xbox::services::Allocator<xbox::services::multiplayer::manager::PerformQosMeasurementsEventArgs> >	std::_Ref_count_obj_alloc3<xbox::services::multiplayer::manager::PerformQosMeasurementsEventArgs,xbox::services::Allocator<xbox::services::multiplayer::manager::PerformQosMeasurementsEventArgs> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::multiplayer::manager::PerformQosMeasurementsEventArgs>,1>, struct xbox::services::Allocator<xbox::services::multiplayer::manager::PerformQosMeasurementsEventArgs>, std::_Ref_count_base;
01420A7A30	4	M	std::_Ref_count_obj_alloc3<xbox::services::multiplayer::manager::FindMatchCompletedEventArgs,xbox::services::Allocator<xbox::services::multiplayer::manager::FindMatchCompletedEventArgs> >	std::_Ref_count_obj_alloc3<xbox::services::multiplayer::manager::FindMatchCompletedEventArgs,xbox::services::Allocator<xbox::services::multiplayer::manager::FindMatchCompletedEventArgs> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::multiplayer::manager::FindMatchCompletedEventArgs>,1>, struct xbox::services::Allocator<xbox::services::multiplayer::manager::FindMatchCompletedEventArgs>, std::_Ref_count_base;
01420A7A58	2		xbox::services::utils::WeakPointerContainer<xbox::services::multiplayer::manager::MultiplayerMatchClient>	struct xbox::services::utils::WeakPointerContainer<xbox::services::multiplayer::manager::MultiplayerMatchClient>: struct xbox::services::utils::SmartPointerContainer<xbox::services::multiplayer::manager::MultiplayerMatchClient>;
01420A7A70	4	M	std::_Ref_count_obj_alloc3<`private: long __cdecl xbox::services::multiplayer::manager::MultiplayerMatchClient::JoinSession(std::shared_ptr<XblMultiplayerSession>,xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<XblMultiplayerSession> >)>) __ptr64'::`2'::JoinSessionOperation,xbox::services::Allocator<`private: long __cdecl xbox::services::multiplayer::manager::MultiplayerMatchClient::JoinSession(std::shared_ptr<XblMultiplayerSession>,xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<XblMultiplayerSession> >)>) __ptr64'::`2'::JoinSessionOperation> >	 ?? :: ?? : std::_Ebco_base<xbox::services::Allocator<`private: long __cdecl xbox::services::multiplayer::manager::MultiplayerMatchClient::JoinSession(std::shared_ptr<XblMultiplayerSession>,xbox::services::Function<void __cdecl(xbox::services::Result<std::shared_ptr<XblMultiplayerSession> >)>) __ptr64'::`2'::JoinSessionOperation>,1>, struct xbox::services::Allocator<`private: long __cdecl xbox::s
01420A7A98	4	M	std::_Ref_count_obj_alloc3<`public: void __cdecl xbox::services::multiplayer::manager::MultiplayerMatchClient::SetQosMeasurements(xbox::services::rapidjson::GenericValue<xbox::services::rapidjson::UTF8<char>,xbox::services::JsonAllocator> const & __ptr64) __ptr64'::`2'::SetQosMeasurementsOperation,xbox::services::Allocator<`public: void __cdecl xbox::services::multiplayer::manager::MultiplayerMatchClient::SetQosMeasurements(xbox::services::rapidjson::GenericValue<xbox::services::rapidjson::UTF8<char>,xbox::services::JsonAllocator> const & __ptr64) __ptr64'::`2'::SetQosMeasurementsOperation> >	std::_Ref_count_obj_alloc3<`public: void __cdecl xbox::services::multiplayer::manager::MultiplayerMatchClient::SetQosMeasurements(xbox::services::rapidjson::GenericValue<xbox::services::rapidjson::UTF8<char>,xbox::services::JsonAllocator> const & __ptr64) __ptr64'::`2'::SetQosMeasurementsOperation,xbox::services::Allocator<`public: void __cdecl xbox::services::multiplayer::manager::MultiplayerMatchClient::
01420A7BD0	3		xbox::services::Function<void __cdecl(XblSocialRelationshipChangeEventArgs const & __ptr64)>::Callable<<lambda_370f2e34e92ee7abb1611e1ad8128f68> >	struct xbox::services::Function<void __cdecl(XblSocialRelationshipChangeEventArgs const & __ptr64)>::Callable<<lambda_370f2e34e92ee7abb1611e1ad8128f68> >: struct xbox::services::Function<void __cdecl(XblSocialRelationshipChangeEventArgs const & __ptr64)>::ICallable;
01420A7C10	3		xbox::services::Function<void __cdecl(unsigned __int64,XblPresenceDeviceType,bool)>::Callable<<lambda_47d79b882401c241b2e159c2048d192b> >	struct xbox::services::Function<void __cdecl(unsigned __int64,XblPresenceDeviceType,bool)>::Callable<<lambda_47d79b882401c241b2e159c2048d192b> >: struct xbox::services::Function<void __cdecl(unsigned __int64,XblPresenceDeviceType,bool)>::ICallable;
01420A7C50	3		xbox::services::Function<void __cdecl(unsigned __int64,unsigned int,XblPresenceTitleState)>::Callable<<lambda_d1bf6b18930c6f217dd5dc0ecffd613b> >	struct xbox::services::Function<void __cdecl(unsigned __int64,unsigned int,XblPresenceTitleState)>::Callable<<lambda_d1bf6b18930c6f217dd5dc0ecffd613b> >: struct xbox::services::Function<void __cdecl(unsigned __int64,unsigned int,XblPresenceTitleState)>::ICallable;
01420A7C70	3		xbox::services::Function<void __cdecl(void)>::Callable<<lambda_41a0246e1a40660907ba2dc7c9e4aa26> >	struct xbox::services::Function<void __cdecl(void)>::Callable<<lambda_41a0246e1a40660907ba2dc7c9e4aa26> >: struct xbox::services::Function<void __cdecl(void)>::ICallable;
01420A7C90	3		xbox::services::Function<void __cdecl(void)>::Callable<<lambda_9d58c4d6ecdbfc1f305c06bafed44c04> >	struct xbox::services::Function<void __cdecl(void)>::Callable<<lambda_9d58c4d6ecdbfc1f305c06bafed44c04> >: struct xbox::services::Function<void __cdecl(void)>::ICallable;
01420A7CB0	3		xbox::services::Function<void __cdecl(void)>::Callable<<lambda_ab7ca403d88ec9aee6cd0e69bb142519> >	struct xbox::services::Function<void __cdecl(void)>::Callable<<lambda_ab7ca403d88ec9aee6cd0e69bb142519> >: struct xbox::services::Function<void __cdecl(void)>::ICallable;
01420A7CD0	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::vector<XblSocialManagerUser,xbox::services::Allocator<XblSocialManagerUser> > >)>::Callable<<lambda_81ac8fd2486d9531d684f2ee523f7761> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::vector<XblSocialManagerUser,xbox::services::Allocator<XblSocialManagerUser> > >)>::Callable<<lambda_81ac8fd2486d9531d684f2ee523f7761> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::vector<XblSocialManagerUser,xbox::services::Allocator<XblSocialManagerUser> > >)>::ICallable;
01420A7CF0	3		xbox::services::Function<void __cdecl(void)>::Callable<<lambda_f35e4663706eab813f9abedc428f2cdd> >	struct xbox::services::Function<void __cdecl(void)>::Callable<<lambda_f35e4663706eab813f9abedc428f2cdd> >: struct xbox::services::Function<void __cdecl(void)>::ICallable;
01420A7D10	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::vector<std::shared_ptr<XblPresenceRecord>,xbox::services::Allocator<std::shared_ptr<XblPresenceRecord> > > >)>::Callable<<lambda_4c8e87e0a06cc42311f81d0314b9bd12> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::vector<std::shared_ptr<XblPresenceRecord>,xbox::services::Allocator<std::shared_ptr<XblPresenceRecord> > > >)>::Callable<<lambda_4c8e87e0a06cc42311f81d0314b9bd12> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::vector<std::shared_ptr<XblPresenceRecord>,xbox::services::Allocator<std::shared_ptr<XblPresenceRecord> > > >)>::ICallable;
01420A7D30	3		xbox::services::Function<void __cdecl(void)>::Callable<<lambda_d88f5fab1ca4a56a584fd33c08a0b7e7> >	struct xbox::services::Function<void __cdecl(void)>::Callable<<lambda_d88f5fab1ca4a56a584fd33c08a0b7e7> >: struct xbox::services::Function<void __cdecl(void)>::ICallable;
01420A7D50	3		xbox::services::Function<void __cdecl(xbox::services::Result<std::vector<XblSocialManagerUser,xbox::services::Allocator<XblSocialManagerUser> > >)>::Callable<<lambda_4eeab3902b228079cbc9471fb86d7cd0> >	struct xbox::services::Function<void __cdecl(xbox::services::Result<std::vector<XblSocialManagerUser,xbox::services::Allocator<XblSocialManagerUser> > >)>::Callable<<lambda_4eeab3902b228079cbc9471fb86d7cd0> >: struct xbox::services::Function<void __cdecl(xbox::services::Result<std::vector<XblSocialManagerUser,xbox::services::Allocator<XblSocialManagerUser> > >)>::ICallable;
01420A7D70	4		std::_Ref_count_resource_alloc<xbox::services::social::manager::SocialGraph * __ptr64,xbox::services::Deleter<xbox::services::social::manager::SocialGraph>,xbox::services::Allocator<xbox::services::social::manager::SocialGraph> >	std::_Ref_count_resource_alloc<xbox::services::social::manager::SocialGraph * __ptr64,xbox::services::Deleter<xbox::services::social::manager::SocialGraph>,xbox::services::Allocator<xbox::services::social::manager::SocialGraph> >: std::_Ref_count_base;
01420A7D98	4	M	std::_Ref_count_obj_alloc3<xbox::services::social::manager::PeoplehubService,xbox::services::Allocator<xbox::services::social::manager::PeoplehubService> >	std::_Ref_count_obj_alloc3<xbox::services::social::manager::PeoplehubService,xbox::services::Allocator<xbox::services::social::manager::PeoplehubService> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::social::manager::PeoplehubService>,1>, struct xbox::services::Allocator<xbox::services::social::manager::PeoplehubService>, std::_Ref_count_base;
01420A7DC0	4	M	std::_Ref_count_obj_alloc3<xbox::services::social::manager::ServiceCallManager,xbox::services::Allocator<xbox::services::social::manager::ServiceCallManager> >	std::_Ref_count_obj_alloc3<xbox::services::social::manager::ServiceCallManager,xbox::services::Allocator<xbox::services::social::manager::ServiceCallManager> >: std::_Ebco_base<xbox::services::Allocator<xbox::services::social::manager::ServiceCallManager>,1>, struct xbox::services::Allocator<xbox::services::social::manager::ServiceCallManager>, std::_Ref_count_base;
01420A7DE8	6		std::_Func_impl_no_alloc<<lambda_d55b887d01b6c1cf64542ca7de7d41bc>,void,std::vector<XblSocialManagerUser,xbox::services::Allocator<XblSocialManagerUser> > && __ptr64>	std::_Func_impl_no_alloc<<lambda_d55b887d01b6c1cf64542ca7de7d41bc>,void,std::vector<XblSocialManagerUser,xbox::services::Allocator<XblSocialManagerUser> > && __ptr64>: std::_Func_base<void,std::vector<XblSocialManagerUser,xbox::services::Allocator<XblSocialManagerUser> > && __ptr64>;
01420A7E20	6		std::_Func_impl_no_alloc<<lambda_405c456d57df1121d26d75eea05b92bd>,void>	std::_Func_impl_no_alloc<<lambda_405c456d57df1121d26d75eea05b92bd>,void>: std::_Func_base<void>;
01420A7E58	6		std::_Func_impl_no_alloc<<lambda_9c9fee259f9f8ed1f406d573f54bc5d8>,void>	std::_Func_impl_no_alloc<<lambda_9c9fee259f9f8ed1f406d573f54bc5d8>,void>: std::_Func_base<void>;
01420A7E90	4	M	std::_Ref_count_obj_alloc3<XblSocialManagerUser,xbox::services::Allocator<XblSocialManagerUser> >	std::_Ref_count_obj_alloc3<XblSocialManagerUser,xbox::services::Allocator<XblSocialManagerUser> >: std::_Ebco_base<xbox::services::Allocator<XblSocialManagerUser>,1>, struct xbox::services::Allocator<XblSocialManagerUser>, std::_Ref_count_base;
01420A7EB8	6		std::_Func_impl_no_alloc<<lambda_b9df72c6ad20b7db76c2ebcd0f276595>,void,std::vector<std::shared_ptr<XblPresenceRecord>,xbox::services::Allocator<std::shared_ptr<XblPresenceRecord> > > && __ptr64>	std::_Func_impl_no_alloc<<lambda_b9df72c6ad20b7db76c2ebcd0f276595>,void,std::vector<std::shared_ptr<XblPresenceRecord>,xbox::services::Allocator<std::shared_ptr<XblPresenceRecord> > > && __ptr64>: std::_Func_base<void,std::vector<std::shared_ptr<XblPresenceRecord>,xbox::services::Allocator<std::shared_ptr<XblPresenceRecord> > > && __ptr64>;
01420A7EF0	6		std::_Func_impl_no_alloc<<lambda_d2eab3b4120e1330687d0f72c793e588>,void,std::vector<XblSocialManagerUser,xbox::services::Allocator<XblSocialManagerUser> > && __ptr64>	std::_Func_impl_no_alloc<<lambda_d2eab3b4120e1330687d0f72c793e588>,void,std::vector<XblSocialManagerUser,xbox::services::Allocator<XblSocialManagerUser> > && __ptr64>: std::_Func_base<void,std::vector<XblSocialManagerUser,xbox::services::Allocator<XblSocialManagerUser> > && __ptr64>;
